Topic;Topic Number;Moscow Institute of Physics and Technology;Novosibirsk State University;St. Petersburg State University;Tomsk Polytechnic University;I.M. Gubkin Russian State University of Oil and Gas;Peter the Great St. Petersburg Polytechnic University;St. Petersburg National Research University of Information Technologies, Mechanics and Optics (ITMO);Tyumen State University;Tyumen State Oil and Gas University;Ufa State Petroleum Technological University;Skolkovo Institute of Science and Technology
"3D Modeling; Geological Structure; Geologic Models";T.10124;0;0;0;0.012819887;0.002176771;0;0;0;0.004317987;0;0.002176771
"Magnetosheath; Magnetic Scales; Solar Wind";T.12270;0;0;0.021066176;0;0;0;0;0;0;0;0
"Induction Logging; Horizontal Wells; Electrical Resistivity";T.12339;0;0.016555142;0;0;0.002176771;0;0;0;0;0;0
"Zircon; Shock Metamorphism; Impact Melts";T.12738;0.006637412;0.006637412;0.012665858;0.004939042;0;0;0;0;0;0;0
"Total Least Squares; Errors-in-variables Model; Coordinate Transformations";T.24211;0;0.013427976;0;0;0;0;0;0;0;0;0
"Mud Volcano; Mudflow; Sakhalin";T.24824;0;0.009172504;0.004473028;0.024174114;0.013983897;0;0;0;0;0;0
"Interplanetary Shock Waves; Magnetopause; Field Aligned Currents";T.25773;0;0;0.035820705;0;0;0;0;0;0;0;0
"Morse Index; Anisotropic Media; Wave Field";T.32441;0;0;0.038149437;0;0;0;0;0;0;0;0
"Pressure Pulses; Shales; Gas Permeability";T.36464;0;0;0;0.027220085;0;0;0;0;0;0;0.007944654
"Hydraulic Head; Groundwater Flow; Stagnation Point";T.38409;0;0;0.007441047;0;0.004950105;0;0;0;0.00990021;0.004950105;0
"Sakhalin; Earthquakes; Fault Zone";T.46932;0;0.020635222;0.011393245;0;0.024371635;0;0;0;0;0;0
"Xenolith; Orthopyroxene; Peridotite";T.52732;0;0.094331007;0;0;0;0;0;0;0;0;0
"Inverse Problems; Coal Seam; Poroelasticity";T.56096;0;0.066231768;0;0;0;0;0;0;0;0;0
"Seismic Anisotropy; Wave Splitting; Upper Mantle";T.3132;0;0.02972242;0.02485376;0.002141216;0;0;0;0;0;0;0
"Solar Cycles; Radiometers; Maunder Minimum";T.5546;0;0;0.005411614;0.008183507;0;0;0;0.002354549;0;0;0
"Polar Motion; Chandler Wobble; Nutation";T.5568;0;0;0.011762098;0;0;0;0.002816771;0;0;0;0
"Gravimeters; Polar Motion; Tidal Constituent";T.5748;0.002318994;0;0;0;0;0;0.009674372;0;0;0;0
"Gorkha Earthquake 2015; Himalayan Region; Aftershock";T.5839;0.003852701;0.016310475;0.001927883;0;0;0;0;0;0;0;0
"Infrasound; Volcanoes; Volcanic Eruptions";T.7529;0.021758076;0.018095109;0;0;0;0;0;0;0;0;0
"Barents Sea; Svalbard and Jan Mayen; Triassic";T.8694;0;0;0.006455113;0;0.006341888;0;0;0;0;0;0
"Volcanoes; Degassing; Volcanic Eruptions";T.8839;0.00242566;0.005143052;0.00242566;0.006162073;0;0;0;0;0;0;0
"Pore Pressure; Hyperbarism; Hydrocarbon Generation";T.9362;0.00210566;0;0;0.004211321;0.00210566;0;0;0;0;0;0
"Submarine Landslide; Tsunamis; Debris Flow";T.10540;0.006316981;0;0;0;0;0.003464356;0;0;0;0;0
"Leucosome; Migmatite; Granulite Facies";T.10940;0;0.01412087;0.002958994;0;0;0;0;0;0;0;0
"Carbonate Rocks; Wave Velocity; Reservoir Characterization";T.13393;0;0;0;0;0.008564864;0;0;0;0;0;0
"Cold Seep; Mud Volcano; Gas Hydrates";T.13752;0;0;0.005320829;0.00784587;0;0;0;0;0;0;0
"Continental Margin; Grainstone; Geological Faults";T.14499;0;0;0.017448982;0.002390105;0;0;0;0;0.002390105;0;0.002390105
"Formation Water; Sandstones; Cementation";T.16885;0;0;0;0.002603438;0.005242432;0;0;0;0.008151445;0;0
"D Region; Lower Ionosphere; Very Low Frequencies";T.21223;0.003030105;0;0.049999964;0;0;0;0;0;0;0;0
"Paleostress; Fault Slips; Stress Tensors";T.22211;0.010903366;0;0.003883438;0.003883438;0;0.003883438;0;0;0;0;0
"In Situ Stress; Sands; Oil and Gas Fields";T.23011;0;0;0.00274566;0;0;0.010897834;0;0.00274566;0.005491321;0;0
"Seismic Reflection; Geophone; Esker";T.27290;0;0;0.01745655;0.003350105;0.003350105;0;0;0;0;0;0
"Volcanoes; Spurr Resin; Alaska";T.36630;0;0.057980129;0;0;0;0;0;0;0;0;0
"Coiled Tubing; Fatigue Testing; Perforating";T.43765;0;0;0;0.030785278;0.003883438;0;0;0;0;0;0
"Satellite Laser Ranging; Photon Counting; Lunar Reconnaissance Orbiter";T.43939;0;0.004807883;0;0;0;0;0.019518756;0;0;0;0
"Kimberlite; Induced Polarization; Electromagnetic Survey";T.51490;0;0.024168221;0;0;0;0;0;0;0;0;0
